SEQNO,LineID,StationID,TripHeadSign,DestinationStaionID,DestinationStationName,FirstTrainTime,LastTrainTime,ServiceDays,UpdateTime
1,'BR','BR01','往南港展覽館','BR24','南港展覽館','06:00','00:00',"'{,1,1,1,1,1,1,1,1}'",20200131
2,'BR','BR02','往南港展覽館','BR24','南港展覽館','06:01','00:01',"'{,1,1,1,1,1,1,1,1}'",20200131
3,'BR','BR03','往南港展覽館','BR24','南港展覽館','06:02','00:02',"'{,1,1,1,1,1,1,1,1}'",20200131
4,'BR','BR04','往南港展覽館','BR24','南港展覽館','06:04','00:05',"'{,1,1,1,1,1,1,1,1}'",20200131
5,'BR','BR05','往南港展覽館','BR24','南港展覽館','06:00','00:07',"'{,1,1,1,1,1,1,1,1}'",20200131
6,'BR','BR06','往南港展覽館','BR24','南港展覽館','06:01','00:10',"'{,1,1,1,1,1,1,1,1}'",20200131
7,'BR','BR07','往南港展覽館','BR24','南港展覽館','06:03','00:12',"'{,1,1,1,1,1,1,1,1}'",20200131
8,'BR','BR08','往南港展覽館','BR24','南港展覽館','06:00','00:15',"'{,1,1,1,1,1,1,1,1}'",20200131
9,'BR','BR09','往南港展覽館','BR24','南港展覽館','06:01','00:33',"'{,1,1,1,1,1,1,1,1}'",20200131
10,'BR','BR10','往南港展覽館','BR24','南港展覽館','06:03','00:35',"'{,1,1,1,1,1,1,1,1}'",20200131
11,'BR','BR11','往南港展覽館','BR24','南港展覽館','06:05','00:38',"'{,1,1,1,1,1,1,1,1}'",20200131
12,'BR','BR12','往南港展覽館','BR24','南港展覽館','06:00','00:40',"'{,1,1,1,1,1,1,1,1}'",20200131
13,'BR','BR13','往南港展覽館','BR24','南港展覽館','06:02','00:43',"'{,1,1,1,1,1,1,1,1}'",20200131
14,'BR','BR14','往南港展覽館','BR24','南港展覽館','06:00','00:46',"'{,1,1,1,1,1,1,1,1}'",20200131
15,'BR','BR15','往南港展覽館','BR24','南港展覽館','06:01','00:49',"'{,1,1,1,1,1,1,1,1}'",20200131
16,'BR','BR16','往南港展覽館','BR24','南港展覽館','06:03','00:52',"'{,1,1,1,1,1,1,1,1}'",20200131
17,'BR','BR17','往南港展覽館','BR24','南港展覽館','06:00','00:54',"'{,1,1,1,1,1,1,1,1}'",20200131
18,'BR','BR18','往南港展覽館','BR24','南港展覽館','06:01','00:56',"'{,1,1,1,1,1,1,1,1}'",20200131
19,'BR','BR19','往南港展覽館','BR24','南港展覽館','06:02','00:58',"'{,1,1,1,1,1,1,1,1}'",20200131
20,'BR','BR20','往南港展覽館','BR24','南港展覽館','06:04','01:00',"'{,1,1,1,1,1,1,1,1}'",20200131
21,'BR','BR21','往南港展覽館','BR24','南港展覽館','06:00','01:03',"'{,1,1,1,1,1,1,1,1}'",20200131
