timestamp,station_id,line_direction_cid,car1_congestion,car2_congestion,car3_congestion,car4_congestion,car5_congestion,car6_congestion
2025-07-14 21:21:21,BL01,1,1,1,1,1,1,1.0
2025-07-14 21:22:07,BL03,1,1,1,1,1,1,1.0
2025-07-14 21:22:54,BL19,2,1,1,2,1,1,1.0
2025-07-14 21:24:22,BL23,1,1,1,1,1,1,1.0
2025-07-14 21:23:50,BL20,1,1,1,1,1,1,1.0
2025-07-14 21:23:05,BL03,2,1,1,1,1,1,1.0
2025-07-14 21:23:22,BL10,2,1,1,1,1,1,1.0
2025-07-14 21:24:18,BL08,2,1,1,1,1,1,1.0
2025-07-14 21:24:08,BL14,1,1,2,2,2,2,1.0
2025-07-14 21:24:24,BL12,1,1,2,2,2,2,1.0
2025-07-14 21:23:49,BL16,1,1,1,2,2,2,1.0
2025-07-14 21:23:38,BL11,1,2,2,2,2,2,2.0
2025-07-14 21:22:30,BL22,2,1,1,1,1,1,1.0
2025-07-14 21:22:35,BL13,2,1,1,1,1,1,1.0
2025-07-14 21:23:59,BL06,2,1,1,1,1,1,1.0
2025-07-14 21:23:31,BL21,2,1,1,1,1,1,1.0
2025-07-14 21:24:23,BL18,2,1,1,1,1,1,1.0
2025-07-14 21:22:44,BL22,1,1,1,1,1,1,1.0
2025-07-14 21:21:58,BL11,2,1,1,1,1,1,1.0
2025-07-14 21:23:53,BL18,1,1,1,1,1,1,1.0
2025-07-14 21:23:44,BL05,1,1,1,1,1,1,1.0
2025-07-14 21:22:45,BL09,1,2,2,2,2,2,2.0
2025-07-14 21:20:13,BL05,1,1,1,1,1,1,1.0
2025-07-14 21:23:37,BL07,1,1,1,1,1,1,1.0
2025-07-14 21:23:15,BL10,1,2,2,2,2,2,2.0
2025-07-14 21:24:27,BL16,2,1,1,1,1,1,1.0
2025-07-14 21:22:37,BL09,2,1,1,1,1,1,1.0
2025-07-14 21:23:37,G05,2,1,1,1,1,1,1.0
2025-07-14 21:24:17,G14,1,2,2,2,2,2,2.0
2025-07-14 21:22:50,G11,1,1,1,1,1,1,1.0
2025-07-14 21:24:16,G09,2,1,1,2,1,1,1.0
2025-07-14 21:24:20,G18,2,1,1,1,1,1,1.0
2025-07-14 21:22:51,G14,2,1,1,1,1,1,1.0
2025-07-14 21:24:10,G12,2,1,1,1,1,1,1.0
2025-07-14 21:23:02,G02,2,1,1,1,1,1,1.0
2025-07-14 21:23:58,G16,1,1,1,1,1,2,1.0
2025-07-14 21:22:25,G05,1,1,1,1,2,1,1.0
2025-07-14 21:15:24,G17,2,1,1,1,1,1,1.0
2025-07-14 21:22:47,G02,1,1,1,1,1,1,1.0
2025-07-14 21:23:21,G18,1,1,1,1,1,1,1.0
2025-07-14 21:23:02,O16,1,1,1,1,1,1,1.0
2025-07-14 21:22:35,O20,2,1,1,1,1,1,1.0
2025-07-14 21:22:15,O12,2,2,2,2,2,2,1.0
2025-07-14 21:23:44,O08,2,2,2,1,1,1,1.0
2025-07-14 21:22:23,O05,2,1,1,1,1,1,1.0
2025-07-14 21:23:01,O02,2,1,1,1,1,1,1.0
2025-07-14 21:23:13,O05,1,1,2,2,1,1,1.0
2025-07-14 21:22:10,O08,1,1,1,1,1,1,1.0
2025-07-14 21:23:34,O12,1,1,1,1,1,1,1.0
2025-07-14 21:22:31,O20,1,1,1,1,1,1,1.0
2025-07-14 21:24:13,O17,2,1,1,1,1,1,1.0
2025-07-14 21:22:02,O02,1,1,1,1,1,1,1.0
2025-07-14 21:20:30,O54,1,1,1,1,1,1,1.0
2025-07-14 21:22:39,O51,2,1,2,1,2,2,1.0
2025-07-14 21:22:57,O06,2,1,1,1,1,1,1.0
2025-07-14 21:22:53,O04,2,1,1,1,1,1,1.0
2025-07-14 21:22:24,O01,2,1,1,1,1,1,1.0
2025-07-14 21:19:00,O05,1,1,2,2,2,1,1.0
2025-07-14 21:23:23,O06,1,1,2,2,2,1,1.0
2025-07-14 21:22:50,O10,1,1,1,1,1,1,1.0
2025-07-14 21:24:21,O11,2,2,2,2,2,2,1.0
2025-07-14 21:22:51,O51,1,1,1,1,1,1,1.0
2025-07-14 21:22:37,R07,2,1,1,1,1,1,1.0
2025-07-14 21:22:57,R04,1,1,1,1,1,1,1.0
2025-07-14 21:22:41,R23,1,1,1,1,1,1,1.0
2025-07-14 21:23:43,R27,2,1,1,1,1,1,1.0
2025-07-14 21:22:43,R14,2,2,2,2,2,2,2.0
2025-07-14 21:24:08,R09,2,2,2,2,2,2,2.0
2025-07-14 21:22:32,R04,2,1,2,2,2,2,2.0
2025-07-14 21:23:21,R08,1,1,1,1,1,1,1.0
2025-07-14 21:22:26,R27,1,1,1,1,1,1,1.0
2025-07-14 21:21:44,R24,2,1,2,2,2,1,1.0
2025-07-14 21:23:33,R19,2,2,2,2,2,2,2.0
2025-07-14 21:23:20,R11,1,1,2,1,1,1,2.0
2025-07-14 21:23:27,R21,1,1,1,1,1,1,1.0
2025-07-14 21:23:34,R16,2,1,1,1,1,1,2.0
2025-07-14 21:23:22,R11,2,2,2,2,2,2,2.0
2025-07-14 21:22:30,R14,1,1,1,1,1,2,1.0
2025-07-14 21:23:20,R07,1,1,1,1,1,1,1.0
2025-07-14 21:23:07,R16,1,1,1,1,1,1,1.0
2025-07-14 21:23:08,R21,2,1,1,1,1,1,1.0
2025-07-14 21:22:24,G09,1,2,2,2,2,2,2.0
2025-07-14 21:28:05,BL02,2,1,1,1,1,1,1.0
2025-07-14 21:28:16,BL01,1,1,1,1,1,1,1.0
2025-07-14 21:29:25,BL22,2,1,1,1,1,1,1.0
2025-07-14 21:28:32,BL21,1,1,1,1,1,1,1.0
2025-07-14 21:29:13,BL17,1,1,2,2,2,1,1.0
2025-07-14 21:28:37,BL05,2,1,1,1,1,1,1.0
2025-07-14 21:30:08,BL13,2,1,1,1,1,1,1.0
2025-07-14 21:26:04,BL09,2,1,1,1,1,1,1.0
2025-07-14 21:27:41,BL12,1,1,2,2,2,2,1.0
2025-07-14 21:27:20,BL11,1,1,1,2,1,2,1.0
2025-07-14 21:27:41,BL14,1,1,2,2,2,2,1.0
2025-07-14 21:26:03,BL10,1,2,2,2,2,2,2.0
2025-07-14 21:27:47,BL23,1,1,1,1,1,1,1.0
2025-07-14 21:27:51,BL16,2,1,1,1,1,1,1.0
2025-07-14 21:27:55,BL08,2,1,1,1,1,1,1.0
2025-07-14 21:28:27,BL23,2,1,1,1,1,1,1.0
2025-07-14 21:28:04,BL20,2,1,1,1,1,1,1.0
2025-07-14 21:28:51,BL19,1,1,1,1,1,1,1.0
2025-07-14 21:28:08,BL14,2,1,1,1,1,1,1.0
2025-07-14 21:29:04,BL15,1,1,2,2,2,2,1.0
2025-07-14 21:29:09,BL03,1,1,1,1,1,1,1.0
